City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,caravelas,BR,78.19,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
11,atuona,PF,77.0,broken clouds,-9.8,-139.0333,Villa Enata
13,srem,PL,70.02,broken clouds,52.0887,17.0151,L'Ascada. Hotel
16,hasaki,JP,73.8,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
17,jiuquan,CN,79.2,overcast clouds,39.7432,98.5174,Jiuquan Hotel
25,boksitogorsk,RU,74.95,overcast clouds,59.474,33.8485,Теплый Стан
27,puerto ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,faanui,PF,77.97,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
35,sao filipe,CV,78.15,light rain,14.8961,-24.4956,Hotel Xaguate
36,shingu,JP,76.84,scattered clouds,33.7333,135.9833,Shingu UI Hotel
37,ponta do sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
53,cochrane,CA,71.87,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
54,buarcos,PT,74.66,clear sky,40.166,-8.8768,Hotel Sweet Atlantic SPA
57,arraial do cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
61,tual,ID,79.14,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
66,angoche,MZ,72.46,clear sky,-16.2325,39.9086,Guest House HESADA
68,lompoc,US,71.74,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
69,guerrero negro,MX,77.5,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
73,kawalu,ID,71.49,broken clouds,-7.3817,108.2082,West Jontor
74,dubrovytsya,UA,73.49,overcast clouds,51.5744,26.565,Druzhba
76,nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
79,la ronge,CA,70.05,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
80,lat yao,TH,77.86,light rain,15.751,99.7893,โรงแรมสอระ
93,vila velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
102,naze,JP,77.92,clear sky,28.3667,129.4833,Shishime Hotel
104,divnoye,RU,76.55,scattered clouds,45.9089,43.3547,Motel Manych-Gudilo
106,ambilobe,MG,70.59,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
107,buchanan,LR,77.52,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
109,san quintin,MX,75.81,broken clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
115,mazamari,PE,72.36,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
120,kieta,PG,78.35,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
124,tebingtinggi,ID,75.18,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
125,asau,RO,77.92,broken clouds,46.4333,26.4,Casa Mika Ciobanus
126,lardos,GR,78.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
130,oron,NG,74.95,light rain,4.8256,8.2343,Aqua Belloni Lodge
132,alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
135,gorontalo,ID,73.69,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
145,san cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
146,sunyani,GH,78.78,scattered clouds,7.3399,-2.3268,Nass Lodge
147,sao joao da barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
149,takoradi,GH,74.7,clear sky,4.8845,-1.7554,Raybow International Hotel
152,cabatuan,PH,75.24,overcast clouds,10.8794,122.486,MVC Transient Room
153,katsuura,JP,75.9,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
162,lata,PT,70.81,clear sky,40.1629,-8.3327,Casa Maquia
163,vila franca do campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
167,honavar,IN,77.81,moderate rain,14.2833,74.45,Hotel Sagar Residency
170,tautira,PF,75.51,light rain,-17.7333,-149.15,Pension Oaoa
172,torbay,CA,75.97,broken clouds,47.6666,-52.7314,Gallows Cove
175,bambous virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
176,rock springs,US,78.24,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
177,los llanos de aridane,ES,71.35,broken clouds,28.6585,-17.9182,Valle Aridane
181,bengkulu,ID,74.97,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
188,faranah,GN,75.49,moderate rain,10.0404,-10.7434,Chez mon oncle
189,hobyo,SO,76.53,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
191,avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
196,ukiah,US,76.66,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
198,north bend,US,73.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
202,huicheng,CN,79.59,scattered clouds,23.0385,116.2899,Huilai Hotel
205,colchester,GB,73.78,scattered clouds,51.8892,0.9042,North Hill Hotel
206,dariba,IN,79.52,overcast clouds,24.95,74.1333,JDO Hostel
209,nhulunbuy,AU,72.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
210,isangel,VU,73.81,clear sky,-19.55,169.2667,Tanna Lodge
219,frolovo,RU,75.38,few clouds,49.7713,43.6622,Gostinitsa Frolovo
221,port-cartier,CA,70.75,broken clouds,50.0334,-66.8654,Le Q'Artier
