City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,punta arenas,CL,-53.15,-70.9167,37.42,93,40,5.75,scattered clouds
1,yellowknife,CA,62.456,-114.3525,59.56,63,75,16.11,broken clouds
2,dikson,RU,73.5069,80.5464,42.08,99,99,8.05,overcast clouds
3,manokwari,ID,-0.8667,134.0833,77.94,77,100,3.62,overcast clouds
4,barrow,US,71.2906,-156.7887,34.03,96,100,17.18,overcast clouds
5,wewak,PG,-3.5534,143.6268,79.56,81,100,4.18,overcast clouds
6,cape town,ZA,-33.9258,18.4232,68.11,62,20,20.71,few clouds
7,mataura,NZ,-46.1927,168.8643,43.97,89,93,2.15,overcast clouds
8,lompoc,US,34.6391,-120.4579,60.94,97,100,11.5,mist
9,hobart,AU,-42.8794,147.3294,42.66,85,100,5.75,overcast clouds
10,rikitea,PF,-23.1203,-134.9692,68.61,67,87,19.62,overcast clouds
11,torbay,CA,47.6666,-52.7314,78.89,73,75,11.01,broken clouds
12,port elizabeth,ZA,-33.918,25.5701,61.09,91,75,11.5,broken clouds
13,goryachegorsk,RU,55.4053,88.9154,55.13,76,98,4.92,overcast clouds
14,marawi,PH,7.9986,124.2928,69.26,98,100,1.48,overcast clouds
15,bac lieu,VN,9.285,105.7244,78.19,84,100,10.33,overcast clouds
16,sidhi,IN,24.4167,81.8833,86.7,63,96,3.69,overcast clouds
17,tautira,PF,-17.7333,-149.15,75.58,79,100,21.68,light rain
18,lufilufi,WS,-13.8745,-171.5986,73.18,71,53,14.83,broken clouds
19,esperance,AU,-33.8667,121.9,53.31,66,33,10.85,scattered clouds
20,ushuaia,AR,-54.8,-68.3,31.66,93,20,2.3,few clouds
21,bluff,NZ,-46.6,168.3333,43.9,94,77,23.89,light rain
22,mahebourg,MU,-20.4081,57.7,71.89,78,75,11.5,broken clouds
23,bambous virieux,MU,-20.3428,57.7575,71.85,78,75,11.5,light rain
24,thompson,CA,55.7435,-97.8558,53.76,82,20,8.05,few clouds
25,kapaa,US,22.0752,-159.319,73.72,92,75,6.91,broken clouds
26,carnarvon,AU,-24.8667,113.6333,64.65,54,0,14.38,clear sky
27,alto araguaia,BR,-17.3147,-53.2153,90.14,17,6,13.4,clear sky
28,pangnirtung,CA,66.1451,-65.7125,42.8,93,75,4.61,broken clouds
29,busselton,AU,-33.65,115.3333,56.34,87,29,16.26,light rain
30,atuona,PF,-9.8,-139.0333,76.91,76,55,18.81,broken clouds
31,komsomolskiy,UZ,40.4272,71.7189,85.64,20,2,8.48,clear sky
32,rabo de peixe,PT,37.8,-25.5833,74.71,78,40,9.22,scattered clouds
33,hayvoron,UA,48.3396,29.8679,83.37,39,73,9.73,broken clouds
34,vaini,TO,-21.2,-175.2,71.76,100,75,5.75,light intensity shower rain
