City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dingle,PH,2022-08-03 23:11:17,10.9995,122.6711,78.08,90,100,1.99
1,Cherskiy,RU,2022-08-03 23:11:17,68.75,161.3,50.45,71,100,8.52
2,Arraial Do Cabo,BR,2022-08-03 23:00:53,-22.9661,-42.0278,69.8,73,0,7.25
3,Ushuaia,AR,2022-08-03 23:00:29,-54.8,-68.3,37.18,97,100,5.01
4,Mar Del Plata,AR,2022-08-03 23:01:51,-38.0023,-57.5575,50.88,86,39,4.0
5,Mataura,NZ,2022-08-03 23:01:34,-46.1927,168.8643,46.65,72,100,5.14
6,Thompson,CA,2022-08-03 23:00:21,55.7435,-97.8558,60.96,51,75,10.36
7,Rikitea,PF,2022-08-03 23:01:24,-23.1203,-134.9692,71.64,69,36,15.5
8,Albany,US,2022-08-03 22:56:56,42.6001,-73.9662,87.64,48,4,3.18
9,Bredasdorp,ZA,2022-08-03 23:11:19,-34.5322,20.0403,47.59,93,5,6.06
10,Sabang,ID,2022-08-03 23:11:20,5.8933,95.3214,81.7,68,100,16.69
11,Georgetown,MY,2022-08-03 22:58:28,5.4112,100.3354,79.9,92,20,2.3
12,Puerto Ayora,EC,2022-08-03 23:01:02,-0.7393,-90.3518,70.56,82,75,11.01
13,Yellowknife,CA,2022-08-03 22:57:28,62.456,-114.3525,66.72,37,40,12.66
14,Cape Town,ZA,2022-08-03 23:01:06,-33.9258,18.4232,56.12,80,96,5.01
15,Ninotsminda,GE,2022-08-03 23:11:21,41.2646,43.5916,54.01,92,3,2.24
16,Nikolskoye,RU,2022-08-03 23:02:46,59.7035,30.7861,62.49,84,42,3.29
17,Bonthe,SL,2022-08-03 23:11:21,7.5264,-12.505,75.83,88,98,7.65
18,Derzhavinsk,KZ,2022-08-03 23:11:22,51.1,66.3167,63.18,57,98,16.28
19,East London,ZA,2022-08-03 23:00:10,-33.0153,27.9116,69.26,50,66,5.41
20,Phan Thiet,VN,2022-08-03 23:11:23,10.9333,108.1,77.65,87,100,4.65
21,Busselton,AU,2022-08-03 23:01:44,-33.65,115.3333,52.48,72,90,16.98
22,Iquique,CL,2022-08-03 23:11:23,-20.2208,-70.1431,59.04,79,6,10.18
23,Rudnichnyy,RU,2022-08-03 23:11:24,59.617,52.4703,60.37,79,100,1.28
24,Nome,US,2022-08-03 23:09:20,64.5011,-165.4064,55.47,82,100,10.36
25,Provideniya,RU,2022-08-03 23:11:25,64.3833,-173.3,46.51,87,75,8.95
26,Saldanha,ZA,2022-08-03 23:01:32,-33.0117,17.9442,55.62,74,85,7.0
27,Jamestown,US,2022-08-03 23:01:59,42.097,-79.2353,87.03,43,0,11.5
28,Yeppoon,AU,2022-08-03 23:11:26,-23.1333,150.7333,67.78,80,11,8.1
29,Bluff,NZ,2022-08-03 23:01:26,-46.6,168.3333,50.34,68,100,20.58
30,Prince Rupert,CA,2022-08-03 23:11:26,54.3161,-130.3201,60.89,82,75,5.75
31,Klaksvik,FO,2022-08-03 23:02:15,62.2266,-6.589,49.12,82,75,14.54
32,Barrow,US,2022-08-03 23:01:43,71.2906,-156.7887,51.82,71,0,16.11
33,Luanda,AO,2022-08-03 23:11:27,-8.8368,13.2343,66.06,86,2,9.98
34,Vaini,TO,2022-08-03 23:01:29,-21.2,-175.2,75.45,80,22,17.0
